tweet_ID	sentiment
884870733972811777	1
884870721670926337	-1
884870772937949184	0
884870693657223169	1
884870709918539782	0
884870772304605184	0
884870702351953920	1
884870893138268160	1
884870809331912704	0
884870975732551680	-1
884870803342462976	1
	0
884870967205523457	0
884870885223448576	1
884870903758245888	-1
884870986860044289	-1
884870846145323009	1
884870979801014272	1
884871001171009536	0
884871002882289665	-1
884870970921668608	-1
884871280079638529	0
884871100517289985	1
884871188987695105	-1
884871151398174720	0
884871257879138304	2
884871107987288064	0
884871115054645253	0
884871251755360256	1
884871250408914944	-3
884871328062418944	0
884871384484241408	1
884871330700681218	0
